Voltage,Reynolds,MgCa,NP,Temperature,Time,Precovery
1.3,12811,2.1,0.7,5,180,59.42162461
0.9,5490,2.1,4.3,5,180,24.50926029
1.3,5490,1.0,4.3,35,180,22.69768669
1.3,12811,2.1,4.3,35,180,34.70412694
0.9,5490,2.1,0.7,35,180,59.4192271
1.3,5490,1.0,0.7,5,180,17.76613579
0.9,12811,1.0,0.7,35,180,22.86450663
1.3,12811,2.1,0.7,5,180,42.51934115
0.9,5490,2.1,4.3,5,180,37.79338701
1.3,5490,1.0,4.3,35,180,18.67585326
0.9,12811,1.0,4.3,5,180,12.22500379
1.3,12811,2.1,4.3,35,180,38.42878725
0.9,12811,1.0,4.3,5,180,19.58322658
1.3,5490,1.0,0.7,5,180,16.99448202
0.9,12811,1.0,0.7,35,180,18.91008174
1.3,12811,2.1,4.3,35,180,45.06504433
0.9,12811,1.0,4.3,5,180,16.37352515
0.9,5490,2.1,0.7,35,180,35.73466476
1.3,12811,2.1,0.7,5,18,32.91180953
0.9,5490,2.1,4.3,5,18,28.98042768
1.3,5490,1.0,4.3,35,18,5.333277822
1.3,12811,2.1,4.3,35,18,42.80421298
0.9,5490,2.1,0.7,35,18,44.36829437
1.3,5490,1.0,0.7,5,18,3.871721526
0.9,12811,1.0,0.7,35,18,12.06442996
1.3,12811,2.1,0.7,5,18,32.56195565
0.9,5490,2.1,4.3,5,18,24.45642796
1.3,5490,1.0,4.3,35,18,10.92143235
0.9,12811,1.0,4.3,5,18,2.705096505
1.3,12811,2.1,4.3,35,18,37.99182422
0.9,12811,1.0,4.3,5,18,3.772189349
1.3,5490,1.0,0.7,5,18,6.061366107
0.9,12811,1.0,0.7,35,18,10.23236853
1.3,12811,2.1,4.3,35,18,35.54025866
0.9,12811,1.0,4.3,5,18,6.319595677
0.9,5490,2.1,0.7,35,18,42.31876903
