,GRE Score,TOEFL Score
0,337,118
1,324,107
2,316,104
3,322,110
4,314,103
5,330,115
6,321,109
7,308,101
8,302,102
9,323,108
10,325,106
11,327,111
12,328,112
13,307,109
14,311,104
15,314,105
16,317,107
17,319,106
18,318,110
19,303,102
20,312,107
21,325,114
22,328,116
23,334,119
24,336,119
25,340,120
26,322,109
27,298,98
28,295,93
29,310,99
30,300,97
31,327,103
32,338,118
33,340,114
34,331,112
35,320,110
36,299,106
37,300,105
38,304,105
39,307,108
40,308,110
41,316,105
42,313,107
43,332,117
44,326,113
45,322,110
46,329,114
47,339,119
48,321,110
49,327,111
50,313,98
51,312,100
52,334,116
53,324,112
54,322,110
55,320,103
56,316,102
57,298,99
58,300,99
59,311,104
60,309,100
61,307,101
62,304,105
63,315,107
64,325,111
65,325,112
66,327,114
67,316,107
68,318,109
69,328,115
70,332,118
71,336,112
72,321,111
73,314,108
74,314,106
75,329,114
76,327,112
77,301,99
78,296,95
79,294,93
80,312,105
81,340,120
82,320,110
83,322,115
84,340,115
85,319,103
86,315,106
87,317,107
88,314,108
89,316,109
90,318,106
91,299,97
92,298,98
93,301,97
94,303,99
95,304,100
96,306,100
97,331,120
98,332,119
99,323,113
100,322,107
101,312,105
102,314,106
103,317,104
104,326,112
105,316,110
106,329,111
107,338,117
108,331,116
109,304,103
110,305,108
111,321,109
112,301,107
113,320,110
114,311,105
115,310,106
116,299,102
117,290,104
118,296,99
119,327,104
120,335,117
121,334,119
122,310,106
123,308,108
124,301,106
125,300,100
126,323,113
127,319,112
128,326,112
129,333,118
130,339,114
131,303,105
132,309,105
133,323,112
134,333,113
135,314,109
136,312,103
137,316,100
138,326,116
139,318,109
140,329,110
141,332,118
142,331,115
143,340,120
144,325,112
145,320,113
146,315,105
147,326,114
148,339,116
149,311,106
150,334,114
151,332,116
152,321,112
153,324,105
154,326,108
155,312,109
156,315,105
157,309,104
158,306,106
159,297,100
160,315,103
161,298,99
162,318,109
163,317,105
164,329,111
165,322,110
166,302,102
167,313,102
168,293,97
169,311,99
170,312,101
171,334,117
172,322,110
173,323,113
174,321,111
175,320,111
176,329,119
177,319,110
178,309,108
179,307,102
180,300,104
181,305,107
182,299,100
183,314,110
184,316,106
185,327,113
186,317,107
187,335,118
188,331,115
189,324,112
190,324,111
191,323,110
192,322,114
193,336,118
194,316,109
195,307,107
196,306,105
197,310,106
198,311,104
199,313,107
200,317,103
201,315,110
202,340,120
203,334,120
204,298,105
205,295,99
206,315,99
207,310,102
208,305,106
209,301,104
210,325,108
211,328,110
212,338,120
213,333,119
214,331,117
215,330,116
216,322,112
217,321,109
218,324,110
219,312,104
